n;d;Simples;Simples_CG;Simples_F;Simples_F_CG;LF;LF_CG;LF_F;LF_F_CG;SL;SL_CG;SL_F;SL_F_CG;DSATUR;DSATUR_CG;DSATUR_F;DSATUR_F_CG
100;20;10.67;9.89;8.06;7.91;9.44;9.11;7.96;7.95;9.89;9.0;8.12;8.32;8.33;8.33;7.89;7.83
100;40;17.4;16.3;13.9;13.8;16.1;15.6;13.98;13.6;16.4;15.6;13.47;13.68;14.8;14.7;13.62;13.4
100;60;25.4;23.5;21.31;20.76;24.1;22.9;20.83;20.63;24.3;22.8;20.82;20.41;21.6;21.4;20.41;20.68
100;80;37.3;33.8;31.27;31.24;34.6;33.3;31.72;30.94;35.1;33.2;30.64;30.87;32.8;32.7;30.94;30.2
200;20;17.0;15.7;12.92;12.52;15.4;15.0;12.65;12.42;16.1;15.3;12.55;12.38;14.2;14.2;12.21;12.18
200;40;28.9;26.7;22.96;22.63;26.9;26.1;22.6;22.46;27.8;26.5;22.98;22.47;25.1;24.9;22.41;22.16
200;60;43.4;40.0;35.33;34.95;41.0;39.2;35.38;34.84;41.9;39.3;35.47;34.56;38.2;37.8;34.65;34.7
200;80;64.3;59.6;54.18;53.57;61.6;59.0;54.15;53.56;62.2;58.1;54.18;53.32;58.0;56.6;53.35;53.14
300;20;22.3;21.0;17.02;16.72;21.2;20.3;17.06;16.69;21.3;20.5;16.93;16.6;18.4;18.4;16.6;16.31
300;40;39.2;36.6;31.85;30.99;37.2;36.1;31.08;30.78;37.7;36.4;31.14;30.63;33.8;33.8;30.74;30.41
300;60;59.5;55.7;49.12;48.48;56.8;54.8;49.22;48.09;57.7;54.8;48.42;47.78;53.2;52.8;48.15;47.65
300;80;88.3;82.9;75.66;74.46;85.6;81.5;75.12;74.42;86.0;81.5;74.91;74.57;80.6;80.1;74.59;73.89
400;20;27.5;25.7;20.87;20.74;25.9;25.0;20.77;20.58;25.8;25.0;20.87;20.61;22.8;22.8;20.46;20.52
400;40;48.5;46.0;39.12;38.73;46.5;45.5;39.17;38.56;47.5;45.2;39.06;38.63;42.7;42.7;38.8;38.25
400;60;74.4;69.4;61.87;61.14;71.5;69.5;61.69;60.97;72.7;69.3;61.66;60.68;67.5;67.3;60.63;60.15
400;80;112.5;105.9;96.0;94.81;109.1;104.7;97.24;94.5;109.9;104.9;95.67;94.0;103.1;101.7;94.83;93.85
500;20;31.8;30.1;24.78;24.42;30.1;29.1;24.56;24.13;30.8;29.8;24.3;24.17;27.1;27.1;24.12;23.99
500;40;57.8;54.9;46.65;46.45;55.3;54.0;46.58;46.32;56.3;54.5;46.62;46.1;51.4;51.4;45.86;45.63
500;60;89.1;83.6;74.3;73.48;86.7;83.2;74.52;73.24;87.1;82.9;73.9;72.97;80.3;80.1;73.52;72.69
500;80;136.3;128.5;117.05;114.54;131.3;126.0;117.06;113.99;134.5;127.1;115.56;114.21;126.1;124.6;115.23;113.54
600;20;36.7;34.5;28.37;28.06;34.4;33.5;28.28;28.1;35.4;34.2;28.15;27.94;31.2;31.2;27.82;27.58
600;40;66.3;63.3;54.39;53.78;64.3;62.3;53.97;53.64;65.0;63.0;54.15;53.33;59.5;59.4;53.49;52.81
600;60;102.3;97.9;86.33;85.38;99.7;96.9;86.08;85.05;101.3;97.3;86.36;85.08;94.3;94.1;85.71;85.09
600;80;156.5;148.2;135.67;133.77;153.3;147.7;135.92;133.68;155.5;149.0;134.9;133.15;146.9;146.1;134.43;132.95
700;20;40.8;38.7;31.99;31.79;39.1;38.3;32.11;31.7;39.8;38.5;31.96;31.82;35.1;35.1;31.43;31.07
700;40;75.3;71.9;61.26;60.95;72.0;70.2;61.49;60.44;73.4;71.1;61.11;60.71;67.0;67.0;60.61;60.39
700;60;115.9;111.5;98.65;97.11;112.6;110.2;98.06;96.99;115.1;110.4;98.04;96.7;107.3;107.3;97.1;96.58
700;80;178.5;169.6;154.51;152.38;174.1;168.7;154.82;152.72;177.6;169.0;155.01;152.02;165.5;164.5;153.9;151.78
800;20;45.7;43.3;35.48;35.05;43.2;42.3;35.43;35.04;43.9;42.7;35.22;35.07;39.1;39.1;34.91;34.7
800;40;83.5;79.8;68.37;67.88;80.5;79.1;68.38;67.73;81.5;79.1;67.95;67.81;74.8;74.8;67.57;66.97
800;60;130.7;124.7;109.99;108.68;127.0;123.3;110.14;108.56;128.6;123.3;109.53;107.8;119.4;119.0;109.18;107.83
800;80;201.4;190.2;174.5;171.9;196.5;190.0;173.49;170.7;198.7;190.0;172.69;170.94;186.2;184.8;173.09;170.15
900;20;49.2;47.2;38.9;38.85;47.3;46.1;38.93;38.46;48.4;46.8;38.57;38.36;43.1;43.1;38.14;38.01
900;40;91.3;87.7;75.52;74.64;89.1;87.0;75.47;74.46;89.7;87.5;75.16;74.53;83.1;83.1;74.58;73.85
900;60;143.4;137.9;121.4;120.19;139.4;136.1;121.16;119.75;140.7;136.2;120.92;119.19;132.4;132.3;120.43;119.28
900;80;220.2;211.3;192.0;189.67;217.2;210.2;192.13;189.54;219.7;210.7;191.01;188.47;207.6;205.9;191.02;187.97
1000;20;52.9;51.1;42.57;42.01;51.1;50.1;42.3;41.69;52.3;50.7;42.01;41.84;46.9;46.9;41.71;41.3
1000;40;99.5;96.1;82.2;81.77;97.1;94.9;82.14;81.29;96.9;94.3;81.96;81.27;90.5;90.5;81.28;80.84
1000;60;155.6;149.7;133.28;131.56;153.7;149.0;132.16;130.99;154.2;149.5;132.02;130.46;144.8;144.6;132.2;129.95
1000;80;240.2;230.4;209.82;207.07;236.7;229.8;210.1;206.8;239.1;229.0;209.57;206.44;226.3;224.6;208.97;205.9
